"Date","Time","Description"
"2025-05-28","14:56:58","Creating a new user 'max'"
"2025-05-28","14:56:58","User 'max' Created Successfully"
"2025-05-28","14:56:58","Created home directory for user: 'max' at 'C:\Users\max'."
"2025-05-28","14:56:58","Set full control permissions for 'max' on their home directory."
"2025-05-28","14:56:58","Creating a new user 'rob'"
"2025-05-28","14:56:58","User 'rob' Created Successfully"
"2025-05-28","14:56:58","Added 'rob' to the 'Users' group"
"2025-05-28","14:56:58","Created home directory for user: 'rob' at 'C:\Users\rob'."
"2025-05-28","14:56:58","Set full control permissions for 'rob' on their home directory."
"2025-05-28","15:01:13","Creating a new user 'max'"
"2025-05-28","15:01:13","User 'max' Created Successfully"
"2025-05-28","15:01:13","Created home directory for user: 'max' at 'C:\Users\max'."
"2025-05-28","15:01:14","Set full control permissions for 'max' on their home directory."
"2025-05-28","15:01:14","Creating a new user 'rob'"
"2025-05-28","15:01:14","User 'rob' Created Successfully"
"2025-05-28","15:01:14","Added 'rob' to the 'Users' group"
"2025-05-28","15:01:14","Created home directory for user: 'rob' at 'C:\Users\rob'."
"2025-05-28","15:01:14","Set full control permissions for 'rob' on their home directory."
"2025-05-28","15:01:36","Creating a new user 'max'"
"2025-05-28","15:01:36","User 'max' Created Successfully"
"2025-05-28","15:01:36","Created home directory for user: 'max' at 'C:\Users\max'."
"2025-05-28","15:01:36","Set full control permissions for 'max' on their home directory."
"2025-05-28","15:01:36","Creating a new user 'rob'"
"2025-05-28","15:01:36","User 'rob' Created Successfully"
"2025-05-28","15:01:36","Added 'rob' to the 'Users' group"
"2025-05-28","15:01:36","Created home directory for user: 'rob' at 'C:\Users\rob'."
"2025-05-28","15:01:36","Set full control permissions for 'rob' on their home directory."
"2025-05-28","15:08:51","Creating a new user 'max'"
"2025-05-28","15:08:51","User 'max' Created Successfully"
"2025-05-28","15:08:51","Created home directory for user: 'max' at 'C:\Users\max'."
"2025-05-28","15:08:51","Set full control permissions for 'max' on their home directory."
"2025-05-28","15:08:51","Creating a new user 'rob'"
"2025-05-28","15:08:51","User 'rob' Created Successfully"
"2025-05-28","15:08:51","Added 'rob' to the 'Users' group"
"2025-05-28","15:08:51","Created home directory for user: 'rob' at 'C:\Users\rob'."
"2025-05-28","15:08:51","Set full control permissions for 'rob' on their home directory."
"2025-05-28","15:09:11","Creating a new user 'max'"
"2025-05-28","15:09:11","User 'max' Created Successfully"
"2025-05-28","15:09:11","Set full control permissions for 'max' on their home directory."
"2025-05-28","15:09:11","Creating a new user 'rob'"
"2025-05-28","15:09:11","User 'rob' Created Successfully"
"2025-05-28","15:09:11","Added 'rob' to the 'Users' group"
"2025-05-28","15:09:11","Set full control permissions for 'rob' on their home directory."
"2025-05-28","15:20:05","Creating a new user 'max'"
"2025-05-28","15:20:05","User 'max' Created Successfully"
"2025-05-28","15:20:05","Set full control permissions for 'max' on their home directory."
"2025-05-28","15:20:05","Creating a new user 'rob'"
"2025-05-28","15:20:05","User 'rob' Created Successfully"
"2025-05-28","15:20:05","Added 'rob' to the 'Users' group"
"2025-05-28","15:20:05","Set full control permissions for 'rob' on their home directory."
"2025-05-28","15:38:49","Creating a new user 'max'"
"2025-05-28","15:38:50","User 'max' Created Successfully"
"2025-05-28","15:38:50","Set full control permissions for 'max' on their home directory."
"2025-05-28","15:38:50","Creating a new user 'rob'"
"2025-05-28","15:38:50","User 'rob' Created Successfully"
"2025-05-28","15:38:51","Added 'rob' to the 'Users' group"
"2025-05-28","15:38:51","Set full control permissions for 'rob' on their home directory."
